Language Name	Glottocode	Specific Dialect	Offending segments	ReasonsForInclusion	Language Family	Macroarea
Aritinngithigh	arit1239	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Kambera	kamb1299	NA	d̠ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Muna	muna1247	NA	ʁ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Kuikúro-Kalapálo	kuik1246	NA	dʲ	Voiced obs with no voiceless eq.	Cariban	South America
Kumyk	kumy1244	NA	ɡ ʁ ʕ	Voiced obs with no voiceless eq.	Turkic	Eurasia
LUGBARA	lugb1240	NA	d̪̰	Voiced obs with no voiceless eq.	Central Sudanic	Africa
Pichi	fern1234	NA	ʁ	Voiced obs with no voiceless eq.	Indo-European	Africa
Minyanka	mama1271	NA	ɡ ʕ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Bena	bena1262	NA	d ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
VANIMO	vani1248	NA	ɦ	Voiced obs with no voiceless eq.	Sko	Papunesia
YIDINY	yidi1250	NA	d ɡ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Dutch	dutc1256	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Persian	west2369	NA	d ɡ ɢ ɢ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Indo-European	Eurasia
Yuracure	yura1255	NA	dʲ	Voiced obs with no voiceless eq.	isolate	South America
Mavea	mafe1237	Mavea	v	Has both sonorous and voiceless allophone	Austronesian	Papunesia
ZULU	zulu1248	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
SUENA	suen1241	NA	d̪z̪|dz	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
Oykangand	oyka1239	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Didinga	didi1258	NA	ðː ʒ	Voiced obs with no voiceless eq.	Surmic	Africa
Degema	dege1246	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Juhuri	jude1256	NA	d d̠ʒ ɡ ɢ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Mpumpun	mpon1254	Yokadouma	d ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Kwanyama	kuan1247	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
