Name	Code	Family	Area
Urubú-Kaapor	urub1250	Tupian	South America
Uru-Eu-Wau-Wau	urue1240	Tupian	South America
Usan	usan1239	Nuclear Trans New Guinea	Papunesia
Usarufa	usar1243	Nuclear Trans New Guinea	Papunesia
Ute-Southern Paiute	utes1238	Uto-Aztecan	North America
Ut-Main	kagf1238	Atlantic-Congo	Africa
Vaagri Booli	vaag1238	Indo-European	Eurasia
Vach Khanty	vach1239	Uralic	Eurasia
Vagla	vagl1239	Atlantic-Congo	Africa
Vai	vaii1241	Mande	Africa
Vame	vame1236	Afro-Asiatic	Africa
Vanimo	vani1248	Sko	Papunesia
Varli	varl1238	Indo-European	Eurasia
Vengo	veng1238	Atlantic-Congo	Africa
Veps	veps1250	Uralic	Eurasia
Vietnamese	viet1252	Austroasiatic	Eurasia
Vilela	vile1241	isolate	South America
Vlax Romani	vlax1238	Indo-European	Eurasia
Votic	voti1245	Uralic	Eurasia
Vute	vute1244	Atlantic-Congo	Africa
Waalubal	waal1238	Pama-Nyungan	
Waama	waam1244	Atlantic-Congo	Africa
Wadikali	wadi1261	Pama-Nyungan	Australia
Wadi Wadi	wadi1260	Pama-Nyungan	Australia
Wadjiginy	wadj1254	isolate	Australia
Wagaya	waga1260	Pama-Nyungan	Australia
Wageman	wage1238	isolate	Australia
Wahgi	nucl1620	Nuclear Trans New Guinea	Papunesia
Wa'ikhana	pira1254	Tucanoan	South America
Waima	waim1251	Austronesian	Papunesia
Waimaha	waim1255	Tucanoan	South America
Waimiri-Atroari	waim1253	Cariban	South America
Waiwai	waiw1244	Cariban	South America
Wajarri	waja1257	Pama-Nyungan	Australia
Wajuk	waju1234	Pama-Nyungan	Australia
Wakawaka	waka1274	Pama-Nyungan	Australia
Wakhi	wakh1245	Indo-European	Eurasia
Walangama	wala1263	Pama-Nyungan	Australia
Walmajarri	walm1241	Pama-Nyungan	Australia
Walungge	walu1241	Sino-Tibetan	Eurasia
Wambayan	wamb1258	Mirndi	Australia
Wambon	wamb1259	Nuclear Trans New Guinea	Papunesia
Wamey	wame1240	Atlantic-Congo	Africa
Wamin	wami1239	Pama-Nyungan	Australia
Wan	wann1242	Mande	Africa
Wandala	wand1278	Afro-Asiatic	Africa
Wandarang	wand1263	Mangarrayi-Maran	Australia
Waneci	wane1241	Indo-European	Eurasia
Wanggamala	wang1289	Pama-Nyungan	Australia
Wangganguru	wang1290	Pama-Nyungan	Australia
Wangkajunga	wang1288	Pama-Nyungan	Australia
Wangkumara	wong1246	Pama-Nyungan	Australia
Wanman	wanm1242	Pama-Nyungan	Australia
Wantoat	want1252	Nuclear Trans New Guinea	Papunesia
Wanyi	wany1247	Garrwan	Australia
Wanyjirra	wany1244	Pama-Nyungan	Australia
Waorani	waor1240	isolate	South America
Wapishana	wapi1253	Arawakan	South America
Wappo	wapp1239	Yuki-Wappo	North America
Warao	wara1303	isolate	South America
Wardaman	ward1246	Yangmanic	Australia
Wardandi	ward1248	Pama-Nyungan	Australia
Wari'	wari1268	Chapacuran	South America
Waris	wari1266	Border	Papunesia
Wariyangga	wari1262	Pama-Nyungan	Australia
Warlmanpa	warl1255	Pama-Nyungan	Australia
Warlpiri	warl1254	Pama-Nyungan	Australia
Warluwara	warl1256	Pama-Nyungan	Australia
Warray	wara1290	Gunwinyguan	Australia
Warrgamay	warr1255	Pama-Nyungan	Australia
Warrnambool	warr1257	Pama-Nyungan	Australia
Warrongo	waru1264	Pama-Nyungan	Australia
Warrwa	warr1258	Nyulnyulan	Australia
Warumungu	waru1265	Pama-Nyungan	Australia
Washo	wash1253	isolate	North America
Wathawurrung	wath1238	Pama-Nyungan	Australia
Waurá	waur1244	Arawakan	South America
Wawa	wawa1246	Atlantic-Congo	Africa
Wayampi	waya1270	Tupian	South America
Wayana	waya1269	Cariban	South America
Wayilwan	wayi1238	Pama-Nyungan	Australia
Wayu	wayu1241	Sino-Tibetan	Eurasia
Wayuu	wayu1243	Arawakan	South America
Weh	wehh1238	Atlantic-Congo	Africa
Welsh	wels1247	Indo-European	Eurasia
Wemba Wemba	wemb1241	Pama-Nyungan	Australia
Wergaia	werg1234	Pama-Nyungan	Australia
West Central Banda	west2458	Atlantic-Congo	Africa
West-Central Limba	west2450	Atlantic-Congo	Africa
West Coast Bajau	west2560	Austronesian	Papunesia
Western Anmatyerre	west2442	Pama-Nyungan	Australia
Western Arrarnta	west2441	Pama-Nyungan	Australia
Western Balochi	west2368	Indo-European	Eurasia
Western Bru	west2397	Austroasiatic	Eurasia
Western Cham	west2650	Austronesian	Eurasia
Western Farsi	west2369	Indo-European	Eurasia
Western Frisian	west2354	Indo-European	Eurasia
Western Highland Chatino	west2644	Otomanguean	North America
Western Karaboro	west2466	Atlantic-Congo	Africa
Western Keres	west2632	Keresan	North America
Western Mambila	nige1255	Atlantic-Congo	Africa
Western Maninkakan	west2500	Mande	Africa
Western Mari	west2392	Uralic	Eurasia
Western Muria	west2408	Dravidian	Eurasia
Western Niger Fulfulde	west2454	Atlantic-Congo	Africa
Western Victoria	west2443	Pama-Nyungan	Australia
Western Warlpiri	west2437	Pama-Nyungan	Australia
Western Xwla Gbe	west2456	Atlantic-Congo	Africa
West Makian	west2600	North Halmahera	Papunesia
Wichí Lhamtés Nocten	wich1262	Matacoan	South America
Wichita	wich1260	Caddoan	North America
Wik-Mungkan	wikm1247	Pama-Nyungan	Australia
Wik-Ngathana	wikn1245	Pama-Nyungan	Australia
Wikngenchera	wikn1246	Pama-Nyungan	Australia
Wintu	wint1259	Wintuan	North America
Wiradhuri	wira1262	Pama-Nyungan	Australia
Wirangu-Nauo	wira1260	Bookkeeping	Australia
Wirriyaraay	wirr1237	Pama-Nyungan	Australia
Wiyot	wiyo1248	Algic	North America
Wobe-Wè Northern	weno1238	Atlantic-Congo	Africa
Wogeo	woge1237	Austronesian	Papunesia
Woiwurrung	woiw1237	Pama-Nyungan	Australia
Wolaytta	wola1242	Ta-Ne-Omotic	Africa
Wolof	nucl1347	Atlantic-Congo	Africa
Wongo	wong1247	Atlantic-Congo	Africa
Worimi	wori1245	Pama-Nyungan	Australia
Worrorra	worr1237	Worrorran	Australia
Wotjobaluk	wotj1234	Pama-Nyungan	Australia
Woun Meu	woun1238	Chocoan	South America
Wubuy	nung1290	Gunwinyguan	Australia
Wu Chinese	wuch1236	Sino-Tibetan	Eurasia
Wulguru	wulg1239	Pama-Nyungan	Australia
Wuliwuli	wuli1242	Pama-Nyungan	Australia
Wunambal	wuna1249	Worrorran	Australia
Wurrugu	wurr1238	Marrku-Wurrugu	Australia
Wuzlam	wuzl1236	Afro-Asiatic	Africa
Wymysorys	wymy1235	Indo-European	Eurasia
Xamtanga	xamt1239	Afro-Asiatic	Africa
Xavánte	xava1240	Nuclear-Macro-Je	South America
Xerénte	xere1240	Nuclear-Macro-Je	South America
Xetá	xeta1241	Tupian	South America
Xhosa	xhos1239	Atlantic-Congo	Africa
Xingú Asuriní	xing1248	Tupian	South America
Xipaya	xipa1240	Tupian	South America
Xiriâna	xiri1243	Arawakan	South America
Xokleng	xokl1240	Nuclear-Macro-Je	South America
Xwela Gbe	xwel1235	Atlantic-Congo	Africa
Yabarana	yaba1248	Cariban	South America
Yadhaykenu	yadh1237	Pama-Nyungan	Australia
Yagara	yaga1262	Pama-Nyungan	Australia
Yagaria	yaga1260	Nuclear Trans New Guinea	Papunesia
Yagnobi	yagn1238	Indo-European	Eurasia
Yagua	yagu1244	Peba-Yagua	South America
Yala	yala1263	Atlantic-Congo	Africa
Yalarnnga	yala1262	Pama-Nyungan	Australia
Yalunka	yalu1240	Mande	Africa
Yámana	yama1264	isolate	South America
Yamba	yamb1251	Atlantic-Congo	Africa
Yambeta	yamb1252	Atlantic-Congo	Africa
Yameo	yame1242	Peba-Yagua	South America
Yaminahua	yami1256	Pano-Tacanan	South America
Yana	yana1271	isolate	North America
Yanda	yand1251	Pama-Nyungan	Australia
Yandruwandha	yand1253	Pama-Nyungan	Australia
Yanesha'	yane1238	Arawakan	South America
Yangman	yang1288	Yangmanic	Australia
Yankunytjatjara	yank1247	Pama-Nyungan	Australia
Yan-nhangu	yann1237	Pama-Nyungan	Australia
Yanomámi	yano1262	Yanomamic	South America
Yanomamö	yano1261	Yanomamic	South America
Yansi	yans1239	Atlantic-Congo	Africa
Yanyuwa	yany1243	Pama-Nyungan	Australia
Yao	yaoo1241	Atlantic-Congo	Africa
Yaouré	yaou1238	Mande	Africa
Yapese	yape1248	Austronesian	Papunesia
Yaqui	yaqu1251	Uto-Aztecan	North America
Yardliyawarra	yard1234	Pama-Nyungan	Australia
Yareba	yare1248	Yareban	Papunesia
Yari-Yari	yari1243	Pama-Nyungan	
Yavitero	yavi1244	Arawakan	South America
Yawa	nucl1454	Yawa-Saweru	Papunesia
Yawalapití	yawa1261	Arawakan	South America
Yawanawa	yawa1260	Pano-Tacanan	South America
Yawarawarga	yawa1258	Pama-Nyungan	Australia
Yawijibaya	yawi1239	Worrorran	Australia
Yawuru	yawu1244	Nyulnyulan	Australia
Yaygir	yayg1236	Pama-Nyungan	Australia
Yekhee	yekh1238	Atlantic-Congo	Africa
Yemba	yemb1246	Atlantic-Congo	Africa
Yemsa	yems1235	Ta-Ne-Omotic	Africa
Yerukula	yeru1240	Dravidian	Eurasia
Yessan-Mayo	yess1239	Sepik	Papunesia
Yeyi	yeyi1239	Atlantic-Congo	Africa
Yidiñ	yidi1250	Pama-Nyungan	Australia
Yil	yill1241	Nuclear Torricelli	Papunesia
